Variable/Field name,Variable ,Type of Variable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_urg,Number of emergency department visits in the last 12 months ,Discrete ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date_hosp,Date of hospitalization ,Date,Relative date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ab_12month,Patient has received antibiotics in the last 12 months,Dichotomous,0= No,1= Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prev_ab_num,Number of antibiotics received in the last 12 months ,Discrete ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prev_ab_date,Date of previous antibiotics cycle ,Date,Relative date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prev_ab_days,Number of days using antibiotics ,Discrete ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ab_prev,Name of the antibiotic that the patient received ,Nominal ,Amikacin, Amoxicillin, Amoxicillin/Clavulanate, Ampicillin, Ampicillin/Sulbactam, Cefazolin, Cefepime, Ceftaroline, Cephalexin, Ceftazidime, Ceftazidime/Avibactam, Ceftriaxone, Cefuroxime, Ciprofloxacin, Clarithromycin, Clindamycin, Colistin, Daptomycin, Doripenem, Ertapenem, Fosfomycin, Gentamicin, Imipenem, Linezolid, Meropenem, Oxacillin, Sodium Penicillin, Piperacillin/Tazobactam, Polymyxin B, Rifampicin, Tigecycline, Trimethoprim/Sulfamethoxazole, Vancomycin, No recollection, Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comorbid,Comorbidities at the moment of admission ,Nominal ,Alcoholism, Aplastic Anemia, History of Stroke (ACV), History of Myocardial Infarction (IAM), History of Lung Transplantation, Arrhythmia, Asthma, Asplenia, Bronchoaspiration, Bronchiectasis, Active Cancer, Hematologic Cancer, Lung Cancer, Cirrhosis, Dementia, Malnutrition, Diabetes Mellitus, Coronary Artery Disease, Chronic Liver Disease, Mental Illness, Interstitial Lung Disease, Chronic Kidney Disease, Chronic Obstructive Pulmonary Disease (COPD), Chronic Steroid Use (>10 mg prednisone equivalent), Heart Failure, FEV1 < 30, Hemodialysis, Hypertension, Chronic Proton Pump Inhibitor (PPI) Use, Recurrent Skin Infections, Prosthetic Material, Neutropenia (< 500 cells/dL), Obesity, Other Types of Immunosuppression, Supplemental Oxygen Use, Portacath Carrier, Chemotherapy in the Last Three Months, Sleep Apnea (SAHOS), AIDS (CD4 < 200), Past or Current Smoking, Intravenous Drug Use, Statin Use, Inhaled Steroid Use, Biological Therapy Use, Tracheostomy User, Nutritional Tube User, HIV, None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
copd,COPD history ,Dichotomous,0= No,1= Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gold,GOLD classification ,Nominal ,1=GOLD A,2=GOLD B,3=GOLD C,4=GOLD D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
